path_id,lat,lon,airline,iata,cnt
166,33.67565861,-117.8682225,AA,SNA,578
167,41.979595,-87.90446417,AA,ORD,152
167,33.67565861,-117.8682225,AA,SNA,152
168,38.85208333,-77.03772222,AA,DCA,200
168,38.74768694,-90.35998972,AA,STL,200
169,25.79325,-80.29055556,AA,MIA,168
169,38.74768694,-90.35998972,AA,STL,168
170,25.79325,-80.29055556,AA,MIA,112
170,18.33730556,-64.97336111,AA,STT,112
171,25.79325,-80.29055556,AA,MIA,62
171,17.70188889,-64.79855556,AA,STX,62
172,32.89595056,-97.0372,AA,DFW,392
172,27.97547222,-82.53325,AA,TPA,392
173,25.79325,-80.29055556,AA,MIA,298
173,27.97547222,-82.53325,AA,TPA,298
174,41.979595,-87.90446417,AA,ORD,150
174,27.97547222,-82.53325,AA,TPA,150
175,18.43941667,-66.00183333,AA,SJU,56
175,27.97547222,-82.53325,AA,TPA,56
176,32.89595056,-97.0372,AA,DFW,390
176,36.19837222,-95.88824167,AA,TUL,390
177,32.89595056,-97.0372,AA,DFW,419
177,32.11608333,-110.9410278,AA,TUS,419
