Date,GOOG,APPL,AMZN,TSLA,NFLX,FB,SBUX
2015-04-29,553.679993,131.58999599999999,434.23999000000003,234.97000099999997,81.055717,81.389999,50.950001
2015-04-30,548.590027,128.639999,431.75,232.88999900000002,80.835716,80.959999,50.68
2015-05-01,539.539978,130.130005,425.64001500000006,231.770004,79.96714,79.760002,50.419998
2015-05-04,544.070007,130.570007,429.76998899999995,234.729996,79.714287,79.690002,50.93
2015-05-05,539.73999,128.449997,427.51000999999997,239.5,82.442856,78.800003,50.049999
2015-05-06,532.380005,126.75,422.72000099999997,234.47000099999997,81.214287,78.809998,49.700001
2015-05-07,533.460022,126.08000200000001,428.5,237.479996,80.794289,78.940002,49.549999
2015-05-08,541.150024,127.620003,435.200012,238.41000400000001,82.152855,79.230003,50.43
2015-05-11,541.97998,127.559998,439.0,242.88000499999998,84.85714,79.029999,50.220001
2015-05-12,533.208984,126.879997,433.25,246.350006,83.808571,77.889999,49.990002000000004
2015-05-13,534.322021,127.190002,433.52999900000003,248.30000299999998,84.197144,78.529999,50.150002
2015-05-14,539.0,128.949997,433.0,244.88999900000002,83.924286,81.849998,50.59
2015-05-15,539.273987,129.490005,430.39999400000005,249.399994,88.34857199999999,81.519997,50.849998
2015-05-18,534.820007,130.720001,427.26998899999995,249.899994,88.534286,81.379997,51.290001000000004
2015-05-19,540.659973,130.880005,428.23999000000003,251.0,89.785713,81.690002,51.720001
2015-05-20,542.919983,130.979996,427.10000599999995,247.74000499999997,89.108574,81.099998,51.439999
2015-05-21,543.840027,131.630005,436.89999400000005,246.61999500000002,89.571426,80.91999799999999,51.450001
2015-05-22,544.1900019999999,132.970001,432.44000199999994,248.600006,89.407143,81.309998,51.650002
2015-05-26,539.0,132.91000400000001,427.0,252.0,89.061432,80.599998,51.779999
2015-05-27,540.549988,132.259995,431.85000599999995,249.5,89.907143,80.660004,51.700001
2015-05-28,540.6099849999999,131.949997,431.35000599999995,251.80000299999998,89.855713,81.07,51.939999
2015-05-29,538.630005,131.449997,432.5,252.86999500000002,90.205711,80.07,52.23
2015-06-01,536.789978,131.389999,433.160004,251.600006,89.121429,80.379997,52.459998999999996
2015-06-02,543.0,130.66000400000001,433.23001100000005,249.399994,89.678574,81.349998,52.299999
2015-06-03,543.5,130.940002,438.39001500000006,250.72000099999997,89.732857,82.529999,52.27
2015-06-04,540.590027,130.580002,436.76000999999997,249.30000299999998,89.428574,82.949997,52.18
2015-06-05,537.200012,129.690002,430.799988,249.69999700000002,90.540001,82.459999,52.439999
2015-06-08,534.119995,129.21000700000002,426.799988,258.75,90.815712,82.0,52.23
2015-06-09,529.200012,128.080002,427.48999000000003,257.73999,92.714287,81.190002,51.700001
2015-06-10,538.3599849999999,129.33999599999999,432.200012,254.0,98.970001,82.599998,52.860001000000004
2015-06-11,538.97998,130.179993,438.89001500000006,254.36999500000002,96.918571,82.900002,53.0
2015-06-12,533.119995,128.330002,432.35998499999994,253.460007,95.342857,82.089996,52.740002000000004
2015-06-15,528.299988,127.239998,428.049988,251.27999900000003,93.591431,80.93,52.459998999999996
2015-06-16,529.6400150000001,127.849998,427.97000099999997,253.440002,95.60714,81.510002,53.139998999999996
2015-06-17,530.97998,127.879997,431.35000599999995,264.359985,95.132858,82.220001,53.470001
2015-06-18,538.150024,128.309998,439.73001100000005,263.459991,95.341431,83.190002,54.279999
2015-06-19,538.25,127.82,444.98999000000003,263.799988,96.418571,82.980003,54.439999
2015-06-22,543.73999,128.059998,439.23999000000003,264.399994,96.692856,84.970001,54.43
2015-06-23,541.4990230000001,127.610001,447.040009,268.0,97.389999,87.970001,54.18
2015-06-24,540.0,129.800003,446.47000099999997,267.350006,100.891426,89.25,53.970001
2015-06-25,540.900024,129.199997,443.47000099999997,271.410004,96.0,89.400002,54.450001
2015-06-26,537.76001,127.989998,443.48999000000003,269.109985,95.314285,88.339996,54.75
2015-06-29,528.6099849999999,126.470001,437.0,265.950012,92.91285699999999,87.5,54.389998999999996
2015-06-30,526.25,126.120003,435.57000700000003,270.920013,94.355713,86.699997,54.299999
2015-07-01,525.6900019999999,126.940002,440.0,272.619995,95.238571,87.949997,54.209998999999996
