district,active_households,inactive_households
Central & Western,64,20
Wan Chai,43.9,16.1
Eastern,141.5,45.2
Southern,66.9,18.1
Yau Tsim Mong,91.7,27.5
Sham Shui Po,124.7,41.4
Kowloon City,110.9,34.3
Wong Tai Sin,112,36.3
Kwun Tong,188,61.7
Kwai Tsing,137.4,39.5
Tsuen Wan,89.2,23.1
Tuen Mun,148.2,41.8
Yuen Long,187.1,45.8
North,94.7,27.8
Tai Po,87.6,23.7
Sha Tin,191,54.5
Sai Kung,140.1,29.5
Islands,53.1,12.9
