Date,GOOG,APPL,AMZN,TSLA,NFLX,FB,SBUX
2015-04-29,549.080017,128.639999,429.369995,232.44999700000002,80.407143,80.470001,50.650002
2015-04-30,537.340027,125.150002,421.77999900000003,226.05000299999998,79.5,78.769997,49.580002
2015-05-01,537.900024,128.949997,422.869995,226.02999900000003,79.575714,78.989998,50.290001000000004
2015-05-04,540.780029,128.699997,423.040009,230.50999500000003,79.271431,78.809998,50.450001
2015-05-05,530.799988,125.800003,421.19000199999994,232.94999700000002,80.792854,77.559998,49.41
2015-05-06,524.219971,125.010002,419.100006,230.42999300000002,80.077141,78.099998,48.93
2015-05-07,530.700012,125.260002,426.880005,236.80000299999998,80.748573,78.43,49.349998
2015-05-08,538.219971,127.620003,433.69000199999994,236.61000099999998,82.085716,78.510002,49.779999
2015-05-11,535.700012,126.32,432.85000599999995,239.49000499999997,84.278572,78.010002,49.5
2015-05-12,529.039978,125.870003,431.01998899999995,244.74000499999997,83.377144,77.459999,49.709998999999996
2015-05-13,529.619995,126.010002,426.869995,243.17999300000002,82.872856,78.440002,49.59
2015-05-14,538.400024,128.949997,432.27999900000003,244.100006,83.835716,81.370003,50.560001
2015-05-15,533.849976,128.770004,426.0,248.83999599999999,87.60714,80.41999799999999,50.799999
2015-05-18,532.299988,130.190002,425.23999000000003,248.75,88.267143,80.879997,51.18
2015-05-19,537.3599849999999,130.070007,421.709991,247.13999900000002,88.068573,80.629997,51.419998
2015-05-20,539.27002,130.059998,423.85998499999994,244.350006,88.790001,80.550003,51.029999
2015-05-21,542.51001,131.389999,431.630005,245.61999500000002,89.002853,80.480003,51.330002
2015-05-22,540.1099849999999,132.53999299999998,427.630005,247.729996,88.83856999999999,80.540001,51.48
2015-05-26,532.320007,129.619995,425.47000099999997,247.460007,87.992859,79.33000200000001,50.84
2015-05-27,539.789978,132.03999299999998,431.420013,247.42999300000002,89.85714,80.550003,51.59
2015-05-28,539.780029,131.779999,426.57000700000003,251.44999700000002,89.507141,80.150002,51.810001
2015-05-29,532.1099849999999,130.279999,429.23001100000005,250.80000299999998,89.15142800000001,79.190002,51.959998999999996
2015-06-01,533.98999,130.53999299999998,430.920013,249.44999700000002,89.002853,80.290001,52.220001
2015-06-02,539.179993,129.96000700000002,430.98999000000003,248.350006,89.129997,80.440002,51.73
2015-06-03,540.3099980000001,130.119995,436.589996,248.99000499999997,88.808571,82.440002,52.119999
2015-06-04,536.700012,129.360001,430.77999900000003,245.919998,89.34857199999999,82.050003,51.720001
2015-06-05,533.330017,128.649994,426.950012,249.13999900000002,90.459999,82.139999,52.189999
2015-06-08,526.830017,127.800003,423.5,256.290009,89.604286,80.66999799999999,51.529999
2015-06-09,526.6900019999999,127.41999799999999,425.48001100000005,256.0,92.449997,80.66999799999999,51.540001000000004
2015-06-10,536.6900019999999,128.880005,430.76998899999995,250.69999700000002,95.871429,82.160004,52.689999
2015-06-11,534.6099849999999,128.58999599999999,432.97000099999997,251.41000400000001,95.094284,81.83000200000001,52.490002000000004
2015-06-12,532.330017,127.16999799999999,429.920013,250.690002,94.418571,81.529999,52.630001
2015-06-15,527.200012,126.91999799999999,423.670013,250.38000499999998,93.431427,80.709999,52.27
2015-06-16,528.150024,127.599998,427.26000999999997,253.11999500000002,95.272858,81.059998,52.970001
2015-06-17,529.26001,127.300003,427.80999800000006,260.410004,94.271431,81.790001,53.240002000000004
2015-06-18,536.72998,127.879997,439.39001500000006,261.890015,94.742859,82.910004,54.110001000000004
2015-06-19,536.6900019999999,126.599998,434.920013,262.51001,93.871429,82.510002,53.93
2015-06-22,538.1900019999999,127.610001,436.290009,259.790009,96.414284,84.739998,53.900002
2015-06-23,540.47998,127.029999,445.98999000000003,267.670013,97.312859,87.879997,54.119999
2015-06-24,537.840027,128.110001,440.839996,265.170013,96.944283,88.860001,53.709998999999996
2015-06-25,535.22998,127.5,440.10000599999995,268.790009,94.891426,87.980003,54.07
2015-06-26,531.6900019999999,126.75,438.10000599999995,267.089996,93.08856999999999,88.010002,54.619999
2015-06-29,521.52002,124.529999,429.85998499999994,262.019989,92.23143,85.800003,53.549999
2015-06-30,520.51001,125.43,434.089996,268.26001,93.84857199999999,85.769997,53.619999
2015-07-01,521.840027,126.599998,437.39001500000006,269.149994,93.635712,86.910004,53.889998999999996
2015-07-02,523.400024,126.440002,437.709991,280.019989,94.044289,87.290001,54.240002000000004
2015-07-06,522.8599849999999,126.0,436.040009,279.72000099999997,94.571426,87.550003,54.310001
2015-07-07,525.02002,125.690002,436.72000099999997,267.880005,94.091431,87.220001,54.380001
2015-07-08,516.830017,122.57,429.700012,254.960007,93.507141,85.650002,53.389998999999996
2015-07-09,520.679993,120.07,434.39001500000006,257.920013,95.727142,85.879997,54.049999
2015-07-10,530.130005,123.279999,443.51000999999997,259.149994,97.228569,87.949997,54.57
2015-07-13,546.549988,125.660004,455.57000700000003,262.160004,101.08714300000001,90.099998,55.700001
2015-07-14,561.099976,125.610001,465.57000700000003,265.649994,100.371429,89.68,55.75
2015-07-15,560.219971,126.82,461.19000199999994,263.140015,98.129997,89.760002,55.34
2015-07-16,579.849976,128.509995,475.48001100000005,266.679993,115.809998,90.849998,55.740002000000004
2015-07-17,672.929993,129.619995,483.01000999999997,274.660004,114.769997,94.970001,55.689999
2015-07-20,663.02002,132.070007,488.10000599999995,282.26001,110.550003,97.910004,56.209998999999996
2015-07-21,662.299988,130.75,488.0,266.769989,112.510002,98.389999,56.200001
2015-07-22,662.099976,125.220001,488.26998899999995,267.869995,111.5,97.040001,56.689999
